0,1,2,3,4,5,6,7
1706590800,2024-01-30 05:,40246.0,40212.74,40246.0,40212.74,0.00202,81.2812878
1706587200,2024-01-30 04:,40325.96,40325.96,40325.96,40325.96,0.0,0.0
1706583600,2024-01-30 03:,40325.96,40325.96,40325.96,40325.96,0.0,0.0
1706580000,2024-01-30 02:,40258.97,40325.96,40325.96,40258.97,0.02069,834.2938272
1706576400,2024-01-30 01:,40040.23,40250.0,40250.0,40040.23,0.12871,5180.0957526
1706572800,2024-01-30 00:,40040.23,39764.82,40040.23,39764.82,0.0015,59.6958082
1706569200,2024-01-29 23:,39995.0,39995.0,39995.0,39995.0,0.00197,78.79015
1706565600,2024-01-29 22:,39978.56,39944.89,39978.56,39944.89,0.00644,257.3558659
1706562000,2024-01-29 21:,39759.94,40011.24,40011.41,39729.2,0.06401,2549.6944278
1706558400,2024-01-29 20:,39944.51,39761.98,39944.51,39558.38,0.18188,7234.7493395
1706554800,2024-01-29 19:,39800.47,39977.67,40044.52,39795.98,0.03298,1318.3304598
1706551200,2024-01-29 18,39795.97,39879.95,39879.95,39795.96,0.00735,292.6053535
1706547600,2024-01-29 17,39877.44,40097.65,40135.74,39795.97,0.02921,1167.9145533
1706544000,2024-01-29 16,39506.8,40228.64,40228.64,39506.8,0.58699,23399.0702667
1706540400,2024-01-29 15,38947.87,39506.8,39506.8,38846.63,0.1542,6029.8450368
1706536800,2024-01-29 14:00:,39063.52,38993.82,39063.52,38843.12,0.00717,279.9481874
1706533200,2024-01-29 13:00:,38990.01,39058.66,39058.66,38990.01,0.28113,10963.8015911
1706529600,2024-01-29 12:00:,39325.1,38830.64,39325.1,38759.99,0.26051,10153.926133
1706526000,2024-01-29 11:00:,39164.25,39249.44,39561.56,39112.34,0.64315,25263.0283748
1706522400,2024-01-29 10:00:,39112.33,39352.7,39443.78,39052.93,0.32811,12865.632861
1706518800,2024-01-29 09:00:,38878.01,38905.42,38976.87,38808.71,0.10403,4043.7019916
1706515200,2024-01-29 08:00:,38811.59,38878.0,39028.99,38779.57,0.02741,1065.8294812
1706511600,2024-01-29 07:00:,39070.59,38793.31,39242.61,38793.31,0.31364,12234.0579621
1706508000,2024-01-29 06:00:,39038.58,39038.58,39038.58,39038.58,0.00973,379.8453834
1706504400,2024-01-29 05:00:,38879.14,38879.14,38879.14,38879.14,0.0,0.0
